ID,TMEM132A,CD6,CYBA,DGAT2,CHI3L2,PKM,SEMA3C,JAK3,CCL2,CD5,MYO1G,FKBP10,UCHL1,SLFN13,MS4A1,PTGER1,HACD1,RHOH,KRT19,SPHK1,FZD2,SOCS3,MROH2A,PDIA2,VEPH1,CARD11,UGT1A3,BATF3,NLR
TCGA-G3-A25X,0.117260443,0.049364935,0.095338936,0.018519053,0.00908486,0.189368448,0.032345364,0.085200222,0.036883212,0.0218609,0.101899408,0.088698259,0.094327627,0.370322674,0,0.755521731,0.026858064,0.031163973,0.023681194,0.424946199,0.12513369,0.1010619,0.001086842,0.021999198,0.032932768,0.037794381,0,0.208749588,0.038219283
TCGA-G3-A25Y,0.048600365,0.063690182,0.08343016,0.040851033,0.009006582,0.065623253,0.247420762,0.05909848,0.047249512,0.066273095,0.051778944,0.065243013,0.000961849,0.151444793,0.005832625,0.026746839,0.057562186,0.028859707,0.05722051,0.202228822,0.028376312,0.117246091,0.000731292,0.00097464,0.113815333,0.043845615,0.010774401,0.10514345,0.019077285
TCGA-G3-A25Z,0.002951571,0.010283405,0.013976753,0.043433587,0.001093591,0.006218521,0.008142476,0.009304948,0.008526277,0.00738606,0.010462619,0.010988615,0.000474646,0.001142111,0,0.006970083,0.010515894,0.003875579,0,0.003827045,0.006963755,0.036574235,0.004432524,0.002535137,0.000723165,0.009934206,0.001634042,0.029630851,0.095418064
TCGA-G3-A3CG,0.005936659,0.023526015,0.035092549,0.07967804,0.006119503,0.006254074,0.003181947,0.03017038,0.016524416,0.035519195,0.02633771,0.015442055,0.0006127,0.004486975,0.002249727,0.005577506,0.006090783,0.019578908,0.001739463,0.003213418,0.00495306,0.182861042,0.000670717,0.000175328,0.000337376,0.019648332,0.031111998,0.039228143,0.085726501
TCGA-G3-A3CH,0.003157754,0.028037,0.019955076,0.098118365,0.002981473,0.009576887,0.004390319,0.143693178,0.010813531,0.026361185,0.040972676,0.013464903,0.000289063,0.176669925,0.007365663,0.044807162,0.005933509,0.017615379,8.86E-05,0.07785895,0.00712854,0.011656554,0.000408224,0,0,0.030954687,0.049019279,0.031109969,0.075460041
TCGA-G3-A3CI,0.00187698,0.015773683,0.0128797,0.024232714,0.031140857,0.006858891,0.007194096,0.033937123,0.025824083,0.01328865,0.036441738,0.006961588,0.000516849,0.011858209,0.004179776,0.016214349,0.057572909,0.011425728,0.001896637,0.013150882,0.004422262,0.044390298,0.001463462,0,0.009814171,0.025533071,0.06563039,0.043966169,0.115473626
TCGA-G3-A3CJ,0.000709454,0.002294861,0.009595897,0.034602399,0.000317717,0.001703271,0.000440214,0.006730169,0.011164779,0.001817912,0.00751172,0.003451012,4.74E-05,0.001587048,0.000935616,0,0,0.003360797,0,0.025258565,0.002232521,0.038140856,0.00571865,0,0,0.004883855,0.000760709,0.038282478,0.11405398
TCGA-G3-A3CK,0.003098337,0.025669963,0.015935121,0.037442784,0.005834018,0.003757914,0.002768324,0.035398015,0.010947608,0.024697781,0.03183983,0.00556022,0.000124304,0.003888502,0.003662954,0.0011191,0.004889783,0.020520225,4.87E-05,0.001371841,0.003620519,0.034784729,0.012591741,0,0.017885483,0.027594165,0.132240811,0.049334639,0.157160451
TCGA-G3-A5SI,0.003068374,0.000941566,0.00059688,0.084090239,0,0.004742767,0.001007469,0.000461517,0.002989865,0.000768627,0.002323366,0.004934799,0.00028191,0.118296955,0.000158477,0.00176681,0.003220537,0.001100655,0.00011542,0.001070441,0.001788869,0.017343317,0,0.001250653,0.000160367,0,0,0.022797812,0.165790719
TCGA-G3-A5SJ,0.019845403,0.068355361,0.026245224,0.018374328,0.030830047,0.141425424,0.016373585,0.139005136,0.021075217,0.061864733,0.075154549,0.012183818,0.000312033,0.11338071,0.012822517,0.007297537,0.001594184,0.056145649,0.204348496,0.264510325,0.005037037,0.060363825,0.002019173,0.000550416,0.009142444,0.045156525,0.007662411,0.057389769,0.015526802
TCGA-G3-A5SL,0.00435829,0.005710086,0.00301997,0.031624505,0.00166456,0.001033186,0.006461391,0.006921022,0.008085031,0.00832582,0.007366042,0.005419622,0.000136306,0.001989685,0.000326213,0.038830235,0.003535085,0.00458647,0.000171674,0.001918063,0.001549614,0.006924687,0.062931489,0.000572164,0.000220883,0.005928755,0.683837607,0.026682315,0.121103263
TCGA-G3-A5SM,0.008018806,0.027284076,0.017110432,0.070285991,0.003368259,0.012790308,0.030531329,0.038158443,0.028786442,0.020789124,0.034589022,0.027714065,0.003627478,0.002632024,0.004953647,0.00377831,0.01410102,0.017558998,0.002301806,0.008019052,0.010790255,0.061812573,0.012215121,0.001335766,0.000771578,0.027333897,0.00960864,0.016095711,0.115619925
TCGA-G3-A6UC,0.002631123,0.003910614,0.005562799,0.121405062,0.000815013,0.001228463,0,0.003994032,0.00232765,0.004791698,0.013813197,0.002169465,0.000149976,0.004433707,0.000133426,0.031201647,0.002705823,0.001762518,0.001762249,0.000361121,0.002441672,0.002153904,0.052916389,0.000420464,0.000134648,0.008351546,0.235035279,0.00670695,0.045781214
